Measurement number;#1;#2;#3;#4;#5;#6;#7;#8;#9;#10;#11;#12
Correction;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV
Time;10:44:48;10:46:53;10:48:59;10:51:04;10:53:10;10:55:16;10:57:21;10:59:30;11:01:20;11:03:11;11:05:04;11:06:57
Integration Time [ms];1524.000;1568.000;1570.000;1584.000;1579.000;1598.000;1602.000;763.000;792.000;807.000;830.000;833.000
Luminous Flux [lm];104.4;101.6;100.9;99.5;98.4;97.6;97.2;214.6;207.9;203.2;199.1;195.6
Radiant Flux [W]  (230-1000nm);0.327;0.319;0.317;0.313;0.309;0.307;0.306;0.664;0.644;0.631;0.618;0.608
Correlated Colour Temp. (CCT) [K];4831;4837;4843;4848;4854;4858;4861;4568;4568;4570;4571;4572
Duv;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.003;0.003;0.003;0.003;0.003
Dominant Wavelength (DWl) [nm];574.5;574.5;574.4;574.3;574.2;574.2;574.2;574.6;574.6;574.6;574.5;574.5
Dominant Wavelength (DWl) [nm]   (10° observer);577.6;577.4;577.3;577.2;577.1;577.0;576.9;574.8;574.7;574.6;574.5;574.5
Colour Purity (PE) [%];11.8;11.7;11.6;11.6;11.5;11.4;11.4;18.3;18.4;18.3;18.3;18.3
Colour Purity (PE) [%]   (10° observer);11.9;11.8;11.8;11.8;11.7;11.7;11.7;18.8;18.9;18.9;18.9;18.9
;;;;;;;;;;;;
Chromaticity Coordinates;;;;;;;;;;;;
x;0.3501;0.3499;0.3497;0.3496;0.3494;0.3493;0.3492;0.3595;0.3595;0.3594;0.3594;0.3594
y;0.3557;0.3556;0.3555;0.3555;0.3554;0.3553;0.3552;0.3681;0.3682;0.3681;0.3681;0.3682
u';0.2132;0.2131;0.2130;0.2130;0.2129;0.2128;0.2128;0.2147;0.2147;0.2147;0.2146;0.2146
v';0.4874;0.4873;0.4872;0.4872;0.4871;0.4871;0.4870;0.4946;0.4946;0.4946;0.4946;0.4946
